Descrição,Fornecedor,Data,Valor,Centro de Custo,Conta
Saldo Inicial da Conta,,01/01/2026,"R$2.351,91 ",Saldo Inicial,Loja Ahu - Itaú - 98608-0
Saldo Inicial da Conta,,01/01/2026,"R$1.033,99 ",Saldo Inicial,Loja Alto XV - Itaú - 98554-6
Saldo Inicial da Conta,,01/01/2026,"R$0,00 ",Saldo Inicial,Loja Batel - Itaú - 98553-8
Saldo Inicial da Conta,,01/01/2026,"R$0,06 ",Saldo Inicial,Fábrica - Itaú - 98670-0
Saldo Inicial da Conta,,01/01/2026,"R$197,88 ",Saldo Inicial,Compras - Inter - 23631657-5
Saldo Inicial da Conta,,01/01/2026,"R$2.208,12 ",Saldo Inicial,Poupança - Sicredi - 35220-1
Saldo Inicial da Conta,,01/01/2026,"R$15.577,11 ",Saldo Inicial,Compras - Sicredi - 35220-1
Saldo Inicial da Conta,,01/01/2026,"R$4.600,00 ",Saldo Inicial,Caixa Dinheiro
Saldo Inicial da Conta,,01/01/2026,"R$636,44 ",Saldo Inicial,Contas Stone -  - 
vendas pix,,02/01/2026,"R$166,80 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
compra mesa plasticas para loja,,02/01/2026,"-R$162,81",Equipamentos,Compras - Inter - 23631657-5
compra mesa plasticas para loja,,02/01/2026,"-R$162,81",Equipamentos,Compras - Inter - 23631657-5
Transferencia entre contas,,02/01/2026,"R$1.500,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
compra mesa plasticas para loja,,02/01/2026,"-R$162,81",Equipamentos,Compras - Inter - 23631657-5
Vendas pix,,02/01/2026,"R$48,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,02/01/2026,"-R$1.500,00",Transf. Entre Contas,Compras - Sicredi - 35220-1
troco p/ loja,,02/01/2026,"-R$450,00",Transf. Entre Contas,Caixa Dinheiro
Morango e Banana,Jullye Frutas,02/01/2026,"-R$6,91",Loja,Caixa Dinheiro
compra de produtos para teste,Festval,03/01/2026,"-R$72,88",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
Compra de pastel para Batel,Pastel tia Elvira,03/01/2026,"-R$33,00",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
vendas cartão,,05/01/2026,"R$7.029,94 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
vendas pix,,05/01/2026,"R$529,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
compra parcelada de cameras de segurança,Mercado Pago,05/01/2026,"-R$550,82",Equipamentos,Compras - Inter - 23631657-5
Vendas cartão,,05/01/2026,"R$2.620,54 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,05/01/2026,"R$364,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
COMPRAS NACIONAIS JULLYE FRUTAS CURITIBA BR,Jullye Frutas,05/01/2026,"-R$11,48",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS ALBERTO FOLLONI CURITIBA BR,,05/01/2026,"-R$124,94",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS ALBERTO FOLLONI CURITIBA BR,,05/01/2026,"-R$38,35",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS ALBERTO FOLLONI CURITIBA BR,,05/01/2026,"-R$0,06",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS ALBERTO FOLLONI CURITIBA BR,,05/01/2026,"-R$40,88",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS ALBERTO FOLLONI CURITIBA BR,,05/01/2026,"-R$59,07",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS ALBERTO FOLLONI CURITIBA BR,,05/01/2026,"-R$35,76",Loja,Compras - Sicredi - 35220-1
PAGAMENTO PIX 29540458000115 OLIVEIRA OLIVEIRA S,,05/01/2026,"-R$1.000,00",Salário,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS PAYGO PAPELARIA HOCHUL CURITIB,,05/01/2026,"-R$25,00",Despesas Administrativas,Compras - Sicredi - 35220-1
ESTORNO DE LANCAMENTO,,05/01/2026,"R$25,00 ",Despesas Administrativas,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS PAYGO PAPELARIA HOCHUL CURITIB,,05/01/2026,"-R$25,00",Despesas Administrativas,Compras - Sicredi - 35220-1
Aux. Gasolina Talita,,05/01/2026,"-R$252,00",Vale Transporte,Compras - Sicredi - 35220-1
LIQUIDACAO BOLETO 01229021000146 FAMAPA EMPREEND,,05/01/2026,"-R$6.154,35",Aluguel,Compras - Sicredi - 35220-1
Pro labore Marina,,05/01/2026,"-R$3.000,00",Pro Labore,Compras - Sicredi - 35220-1
Pro labore Henrique,,05/01/2026,"-R$2.000,00",Pro Labore,Compras - Sicredi - 35220-1
Pro labore Henrique,,05/01/2026,"-R$1.000,00",Pro Labore,Compras - Sicredi - 35220-1
vendas cartão,,06/01/2026,"R$834,39 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Transferencia entre contas,,06/01/2026,"-R$10.513,34",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
RENDIMENTOS REND PAGO APLIC AUT MAIS,,06/01/2026,"R$0,09 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
vendas pix,,06/01/2026,"R$32,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
compra bandejas para loja batel,Shopee,06/01/2026,"-R$108,59",Utensílios,Compras - Inter - 23631657-5
compra de balde plastico para sorvete no batel,Mercado Livre,06/01/2026,"-R$138,00",Utensílios,Compras - Inter - 23631657-5
Frutas p/ fábrica,Cia da Verdura,06/01/2026,"-R$59,40",Fábrica,Compras - Inter - 23631657-5
"Compra no debito: ""No estabelecimento A CASA DO CONFEITEIRO CURITIBA BRA""",Casa do Confeiteiro,06/01/2026,"-R$477,45",Fábrica,Compras - Inter - 23631657-5
"Compra no debito: ""No estabelecimento ARMAZEM EMBALAGENS I CURITIBA BRA""",,06/01/2026,"-R$48,91",Fábrica,Compras - Inter - 23631657-5
Compras de bebidas,Coca Cola,06/01/2026,"-R$54,90",Loja,Compras - Inter - 23631657-5
Transferencia entre contas,,06/01/2026,"R$2.000,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Vendas cartão,,06/01/2026,"R$556,26 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,06/01/2026,"R$10.513,34 ",Transf. Entre Contas,Compras - Sicredi - 35220-1
Transferência entre contas,,06/01/2026,"-R$2.000,00",Transf. Entre Contas,Compras - Sicredi - 35220-1
Marmikok Matéria prima,Marmikok,06/01/2026,"-R$289,65",Loja,Compras - Sicredi - 35220-1
Compra Insumos,Armazem Embalagens,06/01/2026,"-R$77,50",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS MERCA FRUTY CURITIBA BR,Merca Fruty,06/01/2026,"-R$122,00",Fábrica,Compras - Sicredi - 35220-1
PAGAMENTO PIX 12438760931 ARIELLE KEVILLYN SANT,,06/01/2026,"-R$1.068,66",Salário,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS AUTO POSTO ORTONA CURITIBA BR,Posto,06/01/2026,"-R$100,00",Gasolina,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS GREEN FOX CURITIBA BR,Connect,06/01/2026,"-R$39,90",Despesas Administrativas,Compras - Sicredi - 35220-1
PAGAMENTO PIX 64794326068 MARCOS ROBERTO DOS SAN,,06/01/2026,"-R$4,00",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS ASSAI ATACADISTA CURITIBA BR,Assai Atacadista,06/01/2026,"-R$110,16",Loja,Compras - Sicredi - 35220-1
PAGAMENTO PIX 50802098878 FABIANA THAIS SANTOS D,,06/01/2026,"-R$581,62",Salário,Compras - Sicredi - 35220-1
PAGAMENTO PIX 05539850947 HENRIQUE NOCERA,,06/01/2026,"-R$386,15",Transf. Entre Contas,Compras - Sicredi - 35220-1
PAGAMENTO PIX 12418890902 Anna Beatriz Mota Poni,,06/01/2026,"-R$1.071,54",Salário,Compras - Sicredi - 35220-1
PAGAMENTO PIX 14822129942 Sthefani Alves de Fran,,06/01/2026,"-R$1.066,45",Salário,Compras - Sicredi - 35220-1
PAGAMENTO PIX 08346094957 Vinicius Pereira Danta,,06/01/2026,"-R$644,14",Salário,Compras - Sicredi - 35220-1
PAGAMENTO PIX 14434726978 LIDIANE DA SILVA DE AL,,06/01/2026,"-R$988,43",Salário,Compras - Sicredi - 35220-1
Vendas cartão,,07/01/2026,"R$597,08 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,07/01/2026,"R$21,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
compra matéria prima para loja batel,,07/01/2026,"-R$252,73",Loja,Compras - Inter - 23631657-5
Vendas Ifood,Ifood,07/01/2026,"R$99,41 ",Vendas Loja - Delivery,Compras - Inter - 23631657-5
Vendas cartão,,07/01/2026,"R$450,16 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,07/01/2026,"R$183,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Compra matéria prima ,Jullye Frutas,07/01/2026,"-R$25,98",Fábrica,Compras - Sicredi - 35220-1
Compra matéria prima ,Jullye Frutas,07/01/2026,"-R$35,88",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS REI DO QUEIJO CURITIBA BR,Rei do queijo,07/01/2026,"-R$348,96",Fábrica,Compras - Sicredi - 35220-1
PAGAMENTO PIX 22368937000157 INOVA SOLUCOES EM T,,07/01/2026,"-R$30,00",Despesas Administrativas,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS COMERCIAL BARBANT CURITIBA BR,Comercial Barbante,07/01/2026,"-R$69,53",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS BEV DISTRIBUIDORA LTDA CURITIB,,07/01/2026,"-R$21,95",Loja,Compras - Sicredi - 35220-1
COMPRAS Matéria prima,A Casa do Confeiteiro,07/01/2026,"-R$99,40",Loja,Compras - Sicredi - 35220-1
Vendas cartão,,08/01/2026,"R$1.461,04 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,08/01/2026,"R$35,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
compra de silver tape para manutenção da maquina ,Sidmar Eletro,08/01/2026,"-R$17,90",Manutenção,Compras - Inter - 23631657-5
Vendas cartão,,08/01/2026,"R$693,07 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,08/01/2026,"R$75,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
COMPRAS NACIONAIS ATACADAO AS 860 CURITIBA BR,WHS,08/01/2026,"-R$144,36",Loja,Compras - Sicredi - 35220-1
Vendas cartão,,09/01/2026,"R$1.744,36 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,09/01/2026,"R$196,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
compra de balde plastico para sorvete no batel,Mercado Livre,09/01/2026,"-R$256,00",Utensílios,Compras - Inter - 23631657-5
Vendas cartão,,09/01/2026,"R$765,33 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,09/01/2026,"R$76,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
COMPRAS NACIONAIS CONDOR NILO PECAN CURITIBA BR,Condor,09/01/2026,"-R$278,40",Fábrica,Compras - Sicredi - 35220-1
PAGAMENTO PIX 50491721000110 50.491.721 CLEVERSO,,09/01/2026,"-R$18,00",Loja,Compras - Sicredi - 35220-1
PAGAMENTO PIX 38372267000182 SHPP BRASIL INSTITU,,09/01/2026,"-R$29,99",Utensílios,Compras - Sicredi - 35220-1
Compra de frutas,Cia da Verdura,10/01/2026,"-R$99,37",Fábrica,Compras - Inter - 23631657-5
"Compra no debito: ""No estabelecimento REI DO QUEIJO CURITIBA BRA""",Rei do Queijo,10/01/2026,"-R$61,70",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
"Compra no debito: ""No estabelecimento CASA NOVA EMBALAGENS CURITIBA BRA""",Casa Nova Embalagem,10/01/2026,"-R$59,90",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
"Compra no debito: ""No estabelecimento BEV DISTRIBUIDORA LTDA CURITIBA BRA""",Bev Distribuidora,10/01/2026,"-R$49,95",Loja,Compras - Inter - 23631657-5
compra embalagens para fábrica ,Comercial Barbante,10/01/2026,"-R$90,21",Fábrica,Compras - Inter - 23631657-5
Vendas cartão,,12/01/2026,"R$5.576,76 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,12/01/2026,"-R$10.175,96",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
RENDIMENTOS REND PAGO APLIC AUT MAIS,,12/01/2026,"R$0,04 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Vendas pix,,12/01/2026,"R$148,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
compra matéria prima fábrica,Shopee,12/01/2026,"-R$251,40",Fábrica,Compras - Inter - 23631657-5
compra de materia prima para novos produtos,Mercado Livre,12/01/2026,"-R$61,87",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
Transferencia entre contas,,12/01/2026,"R$2.000,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Vendas cartão,,12/01/2026,"R$2.334,36 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,12/01/2026,"-R$9.241,81",Transf. Entre Contas,Loja Alto XV - Itaú - 98554-6
RENDIMENTOS REND PAGO APLIC AUT MAIS,,12/01/2026,"R$0,14 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas pix,,12/01/2026,"R$65,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
PAGAMENTO PIX 61186888000193 SPAL,Spal,12/01/2026,"-R$135,96",Loja,Compras - Sicredi - 35220-1
PAGAMENTO PIX 14149689903 BEATRIZ AKEMI DEVEGILI,,12/01/2026,"-R$112,00",Taxa,Compras - Sicredi - 35220-1
Transferência entre contas,,12/01/2026,"R$10.175,96 ",Transf. Entre Contas,Compras - Sicredi - 35220-1
Transferência entre contas,,12/01/2026,"R$9.241,81 ",Transf. Entre Contas,Compras - Sicredi - 35220-1
Transferência entre contas,,12/01/2026,"-R$2.000,00",Transf. Entre Contas,Compras - Sicredi - 35220-1
INTEGR.CAPITAL SUBSCRITO,,12/01/2026,"-R$20,00",Tarifa de Conta Corrente,Compras - Sicredi - 35220-1
LIQUIDACAO BOLETO 92682038000100 BRADESCO SEGRES,,12/01/2026,"-R$483,26",Seguro,Compras - Sicredi - 35220-1
LIQUIDACAO BOLETO 69034668000156 PLUXEE BENEFICI,Pluxee,12/01/2026,"-R$153,00",Vale Alimentação,Compras - Sicredi - 35220-1
LIQUIDACAO BOLETO 02621881000193 ENRIQUE BENITO,,12/01/2026,"-R$702,00",Loja,Compras - Sicredi - 35220-1
LIQUIDACAO BOLETO 11330376000180 RONALD WEGNER J,,12/01/2026,"-R$380,00",Contador,Compras - Sicredi - 35220-1
CESTA DE RELACIONAMENTO,,12/01/2026,"-R$57,50",Tarifa de Conta Corrente,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS BRASILUZA MARTINS DA SI CURITI,,12/01/2026,"-R$1,30",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS CASA NOVA EMBALAG CURITIBA BR,Casa Nova,12/01/2026,"-R$80,00",Loja,Compras - Sicredi - 35220-1
Vendas cartão,,13/01/2026,"R$424,58 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,13/01/2026,"R$64,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas pix,,13/01/2026,"R$16,90 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
Vendas pix,,13/01/2026,"R$20,90 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
compra frutas para lojas,Moranga Frutaria,13/01/2026,"-R$18,03",Loja,Compras - Inter - 23631657-5
Vendas cartão,,13/01/2026,"R$279,41 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,13/01/2026,"R$122,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
DEB.CTA.FATURA,,13/01/2026,"-R$376,45",Equipamentos,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS POSTO ITUPAVA CURITIBA BR,Posto Itupava,13/01/2026,"-R$100,00",Gasolina,Compras - Sicredi - 35220-1
PAGAMENTO PIX 13233137966 Endryw Gabriel Lino de,,13/01/2026,"-R$76,23",Taxa,Compras - Sicredi - 35220-1
PAGAMENTO PIX 11832190919 TIELLY KAUANE DA SILVA,,13/01/2026,"-R$76,23",Taxa,Compras - Sicredi - 35220-1
PAGAMENTO PIX 04368898000106 COPEL-DIS,Copel,13/01/2026,"-R$641,39",Luz,Compras - Sicredi - 35220-1
Vendas cartão,,14/01/2026,"R$1.027,51 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,14/01/2026,"R$59,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas cartão,,14/01/2026,"R$162,22 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Vendas pix,,14/01/2026,"R$24,80 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
Serviçpo de Limpeza,Tania,14/01/2026,"-R$180,00",Limpeza,Compras - Inter - 23631657-5
Vendas Ifood,Ifood,14/01/2026,"R$155,43 ",Vendas Loja - Delivery,Compras - Inter - 23631657-5
Vendas cartão,,14/01/2026,"R$435,82 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,14/01/2026,"R$152,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
COMPRAS NACIONAIS MERCADO DAS EMBAL CURITIBA BR,Mercado das embalagens,14/01/2026,"-R$31,90",Loja,Compras - Sicredi - 35220-1
Compra matéria prima ,Condor,14/01/2026,"-R$62,82",Loja,Compras - Sicredi - 35220-1
PAGAMENTO PIX 09306174950 LUIZ CELSO DE OLIVEIRA,,14/01/2026,"-R$12,00",Taxa,Compras - Sicredi - 35220-1
PAGAMENTO PIX 09306174950 LUIZ CELSO DE OLIVEIRA,,14/01/2026,"-R$64,23",Taxa,Compras - Sicredi - 35220-1
Vendas cartão,,15/01/2026,"R$686,14 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,15/01/2026,"-R$2.415,14",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
RENDIMENTOS REND PAGO APLIC AUT MAIS,,15/01/2026,"R$0,02 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Vendas pix,,15/01/2026,"R$153,80 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas cartão,,15/01/2026,"R$268,10 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Vendas pix,,15/01/2026,"R$124,90 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
Pastel p/ batel,Pastel Elvira,15/01/2026,"-R$50,00",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
jardineiro lojas - Nivaldo Geraldo dos Santos,,15/01/2026,"-R$500,00",Manutenção,Compras - Inter - 23631657-5
compra matéria prima fábrica,Rei do Queijo,15/01/2026,"-R$299,31",Fábrica,Compras - Inter - 23631657-5
compra matéria prima fábrica,Assai Atacadista,15/01/2026,"-R$846,66",Fábrica,Compras - Inter - 23631657-5
Vendas Food Service,,15/01/2026,"R$120,47 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas cartão,,15/01/2026,"R$559,32 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,15/01/2026,"-R$1.658,49",Transf. Entre Contas,Loja Alto XV - Itaú - 98554-6
Vendas pix,,15/01/2026,"R$86,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
COMPRAS NACIONAIS 17182881Carlos CURITIBA BR,,15/01/2026,"-R$12,00",Loja,Compras - Sicredi - 35220-1
PAGAMENTO PIX 74095480000158 ABILIO JOSE FERNAND,,15/01/2026,"-R$815,60",Loja,Compras - Sicredi - 35220-1
Transferência entre contas,,15/01/2026,"R$2.415,14 ",Transf. Entre Contas,Compras - Sicredi - 35220-1
Transferência entre contas,,15/01/2026,"R$1.658,49 ",Transf. Entre Contas,Compras - Sicredi - 35220-1
LIQUIDACAO BOLETO 31872495000172 BANCO C6 SA,,15/01/2026,"-R$94,00",Despesas Administrativas,Compras - Sicredi - 35220-1
LIQUIDACAO BOLETO 04167796000475 ASTORIA DISTRIB,Astoria,15/01/2026,"-R$550,00",Aluguel de Equipamentos,Compras - Sicredi - 35220-1
LIQUIDACAO BOLETO 04167796000475 ASTORIA DISTRIB,Astoria,15/01/2026,"-R$550,00",Aluguel de Equipamentos,Compras - Sicredi - 35220-1
LIQUIDACAO BOLETO 04167796000475 ASTORIA DISTRIB,Astoria,15/01/2026,"-R$533,75",Aluguel de Equipamentos,Compras - Sicredi - 35220-1
PAGAMENTO PIX 04368898000106 COPEL-DIS,Copel,15/01/2026,"-R$2.223,92",Luz,Compras - Sicredi - 35220-1
PAGAMENTO PIX 11832190919 TIELLY KAUANE DA SILVA,,15/01/2026,"-R$96,00",Vale Transporte,Compras - Sicredi - 35220-1
LIQUIDACAO BOLETO 04368898000106 COPELDIS,Copel,15/01/2026,"-R$1.350,43",Luz,Compras - Sicredi - 35220-1
PAGAMENTO PIX 13233137966 Endryw Gabriel Lino de,,15/01/2026,"-R$96,00",Vale Transporte,Compras - Sicredi - 35220-1
Pro labore Henrique,,15/01/2026,"-R$2.500,00",Pro Labore,Compras - Sicredi - 35220-1
Pro labore Marina,,15/01/2026,"-R$2.500,00",Pro Labore,Compras - Sicredi - 35220-1
Vendas cartão,,16/01/2026,"R$1.030,34 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,16/01/2026,"R$44,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas cartão,,16/01/2026,"R$374,02 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Vendas pix,,16/01/2026,"R$9,90 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
Vendas pix,,16/01/2026,"R$33,80 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
compra matéria prima fábrica para testes,Pagar ME,16/01/2026,"-R$68,50",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
compra matéria prima fábrica para testes,Vindi Pagamentos,16/01/2026,"-R$88,59",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
compra matéria prima para teste ,Amazon,16/01/2026,"-R$61,91",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
Frutas Congeladas,Merca Fruty,16/01/2026,"-R$95,00",Fábrica,Compras - Inter - 23631657-5
"Compra no debito: ""No estabelecimento MP *URBANOCWB CURITIBA BRA""",Urbano cwb,16/01/2026,"-R$30,00",Fábrica,Compras - Inter - 23631657-5
"Compra no debito: ""No estabelecimento HIRO CURITIBA BRA""",Hiro Curitiba,16/01/2026,"-R$5,00",Fábrica,Compras - Inter - 23631657-5
Frutas,Cia da Verdura,16/01/2026,"-R$92,36",Fábrica,Compras - Inter - 23631657-5
Vendas cartão,,16/01/2026,"R$624,47 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,16/01/2026,"R$16,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
COMPRAS NACIONAIS AUTO POSTO ORTONA CURITIBA BR,Posto,16/01/2026,"-R$100,00",Gasolina,Compras - Sicredi - 35220-1
Compra matéria prima,Condor,16/01/2026,"-R$244,43",Loja,Compras - Sicredi - 35220-1
PAGAMENTO PIX SICREDI 04260801000147 OCCUPARE ME,,16/01/2026,"-R$130,00",Exames Médicos,Compras - Sicredi - 35220-1
reembolso compra de materia prima para novos produtos,,17/01/2026,"R$33,47 ",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
Matéria Prima,Pop House,17/01/2026,"-R$16,22",Fábrica,Compras - Inter - 23631657-5
estacionamento ,Mohamed,17/01/2026,"-R$10,00",Despesas Administrativas,Compras - Inter - 23631657-5
compra matéria prima fábrica,Rei do Queijo,17/01/2026,"-R$309,18",Fábrica,Compras - Inter - 23631657-5
Transferencia entre contas,,17/01/2026,"R$2.000,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
compra matéria prima fábrica,Casa do Confeiteiro,17/01/2026,"-R$232,65",Fábrica,Compras - Inter - 23631657-5
Vendas cartão,,19/01/2026,"R$6.171,72 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,19/01/2026,"R$329,70 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas cartão,,19/01/2026,"R$702,62 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Vendas pix,,19/01/2026,"R$70,24 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
compra camera de segurança,Mercado Livre,19/01/2026,"-R$274,41",Equipamentos,Compras - Inter - 23631657-5
Vendas cartão,,19/01/2026,"R$3.390,52 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,19/01/2026,"R$307,80 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,19/01/2026,"-R$2.000,00",Transf. Entre Contas,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS CASA NOVA EMBALAG CURITIBA BR,Casa Nova,19/01/2026,"-R$42,50",Loja,Compras - Sicredi - 35220-1
PAGAMENTO PIX 02558157000162 TELEFONICA BRAS,,19/01/2026,"-R$125,01",Internet,Compras - Sicredi - 35220-1
PAGAMENTO PIX 14597251901 Maria Victoria Rigler,,19/01/2026,"-R$112,00",Taxa,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS MIRAI COMERCIO DE UTIL CURITIB,Mirai comércio,19/01/2026,"-R$27,50",Utensílios,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS PEQUENAS KOISAS CURITIBA BR,,19/01/2026,"-R$13,90",Loja,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS Chavechave CURITIBA BR,,19/01/2026,"-R$74,00",Despesas Administrativas,Compras - Sicredi - 35220-1
COMPRAS NACIONAIS JACOMAR CURITIBA BR,Jacomar,19/01/2026,"-R$100,00",Gasolina,Compras - Sicredi - 35220-1
PAGAMENTO PIX 13233137966 Endryw Gabriel Lino de,,19/01/2026,"-R$72,00",Vale Transporte,Compras - Sicredi - 35220-1
PAGAMENTO PIX 11832190919 TIELLY KAUANE DA SILVA,,19/01/2026,"-R$72,00",Vale Transporte,Compras - Sicredi - 35220-1
Insumos,Rei do Queijo,19/01/2026,"-R$290,00",Loja,Caixa Dinheiro
Vendas cartão,,20/01/2026,"R$455,45 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,20/01/2026,"-R$8.102,04",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
RENDIMENTOS REND PAGO APLIC AUT MAIS,,20/01/2026,"R$0,02 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Vendas pix,,20/01/2026,"R$51,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas cartão,,20/01/2026,"R$71,85 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
